customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
2607,Laurent,Ainslee,Male,90,5/8/1992,Registered Nurse,Health,Affluent Customer,N,Yes,7
379,Bert,Ainslie,Male,2,3/13/1980,Unspecified,Manufacturing,High Net Worth,N,Yes,4
3337,Brendan,Aird,Male,58,10/28/1976,Unspecified,Argiculture,Mass Customer,N,Yes,16
1299,Maddy,Aiskovitch,Female,72,1/17/1977,Media Manager IV,n/a,Affluent Customer,N,No,12
423,Orville,Akerman,Male,43,11/8/1956,Senior Quality Engineer,n/a,Mass Customer,N,No,9
1220,Paulie,Akerman,Male,12,6/8/1987,Editor,n/a,High Net Worth,N,No,14
2060,Constancia,Akram,Female,17,1/23/1959,Statistician II,Financial Services,Mass Customer,N,No,17
2821,Fairlie,Alasdair,Male,13,1/23/1985,Human Resources Assistant III,Property,Affluent Customer,N,No,11
2644,Brooke,Alastair,Male,72,9/3/1977,VP Sales,IT,Mass Customer,N,No,12
2031,Philbert,Albone,Male,99,1/21/1987,Geologist III,n/a,Mass Customer,N,No,12
2966,Fredi,Aldhous,Female,81,5/22/1969,Dental Hygienist,Health,Mass Customer,N,Yes,5
2935,Jessi,Aldwich,Female,41,4/23/1978,Unspecified,Manufacturing,Mass Customer,N,No,17
3501,Kayla,Alentyev,Female,63,1/19/1970,Operator,Telecommunications,Mass Customer,N,Yes,18
2203,Ganny,Alessandrelli,Male,13,12/23/1998,Sales Associate,Health,High Net Worth,N,Yes,2
1984,Hewett,Alessandretti,Male,70,6/1/1999,Information Systems Manager,Health,Mass Customer,N,Yes,1
2280,Wrennie,Alexandersson,Female,93,11/18/1960,Budget/Accounting Analyst I,n/a,Mass Customer,N,No,9
1726,Mariette,Alexsandrev,Female,41,8/6/1973,Junior Executive,Financial Services,High Net Worth,N,No,11
3935,Teodor,Alfonsini,U,72,,Unspecified,IT,High Net Worth,N,Yes,
3766,Marcos,Algar,Male,47,4/13/1970,Desktop Support Technician,Financial Services,Mass Customer,N,Yes,19
1369,Ilka,Allabush,Female,51,5/8/1994,Civil Engineer,Manufacturing,Mass Customer,N,Yes,6
3561,Emelda,Allbones,Female,15,11/16/1968,Help Desk Operator,Financial Services,Mass Customer,N,Yes,5
3435,Stevena,Allcock,Female,80,1/15/2002,Senior Editor,n/a,Affluent Customer,N,No,1
3128,Betteanne,Alldread,Female,96,6/26/1965,Geological Engineer,Manufacturing,High Net Worth,N,Yes,16
46,Kaila,Allin,Female,98,2/26/1972,Unspecified,n/a,Affluent Customer,N,Yes,15
2811,Sharia,Allkins,Female,29,11/29/1976,Internal Auditor,Property,Mass Customer,N,No,22
3318,Courtnay,Allmen,Male,37,2/7/1962,Unspecified,Manufacturing,High Net Worth,N,Yes,19
600,Duke,Allnatt,Male,65,5/10/1974,Nurse,Argiculture,Mass Customer,N,Yes,8
3473,Sanderson,Alloway,U,34,,Analog Circuit Design manager,IT,Mass Customer,N,No,
1664,Karlis,Alner,Male,11,12/30/1975,Chemical Engineer,Manufacturing,Affluent Customer,N,Yes,9
234,Mead,Alpes,Female,71,8/12/1969,Chief Design Engineer,Retail,High Net Worth,N,No,12
3273,Darline,Alpes,Female,72,5/17/1978,General Manager,Entertainment,Mass Customer,N,No,11
277,Jehanna,Alvarado,Female,69,2/19/1956,VP Product Management,n/a,High Net Worth,N,No,15
199,Verla,Alven,Female,61,2/13/1978,Junior Executive,Health,Mass Customer,N,Yes,21
3371,Josey,Alves,Female,56,10/30/1977,Analyst Programmer,Retail,Mass Customer,N,No,17
2795,Shirline,Amar,Female,9,4/11/1966,Research Assistant III,Financial Services,Mass Customer,N,No,17
2475,Cammi,Ambrogioni,Female,68,5/2/1977,Quality Control Specialist,n/a,Mass Customer,N,No,20
1151,Brena,Amburgy,Female,27,4/6/1965,VP Product Management,Argiculture,High Net Worth,N,Yes,19
2340,Joachim,Amer,Male,33,3/29/1978,Research Assistant IV,Health,Mass Customer,N,Yes,16
2703,Peria,Amis,Female,37,4/12/1980,Unspecified,Manufacturing,Affluent Customer,N,Yes,18
3191,Bobbette,Amps,Female,29,7/8/1959,Director of Sales,Financial Services,Affluent Customer,N,Yes,12
1594,Rolando,Amyes,Male,62,11/26/1981,Human Resources Manager,Property,Mass Customer,N,No,7
589,Duff,Anan,Male,76,12/7/1995,Compensation Analyst,Financial Services,Mass Customer,N,Yes,1
1543,Michaela,Andrasch,Female,25,10/13/1993,Database Administrator III,n/a,High Net Worth,N,No,9
1402,Hillier,Andraud,Male,58,12/8/2001,Assistant Professor,Telecommunications,Mass Customer,N,No,1
3801,Auberta,Andrault,Female,76,3/6/1971,Research Nurse,Health,Mass Customer,N,Yes,17
952,Marina,Andresen,Female,34,6/13/1971,VP Sales,Financial Services,Affluent Customer,N,Yes,6
3094,Izak,Andreutti,Male,51,5/28/1989,Biostatistician II,n/a,Mass Customer,N,Yes,17
654,Noelani,Andreuzzi,Female,2,5/19/1993,Administrative Officer,Manufacturing,Affluent Customer,N,No,5
1816,Lonni,Andrichak,Female,68,2/25/1977,Unspecified,Argiculture,Mass Customer,N,No,18
1488,Donnamarie,Andrieu,Female,82,9/30/1986,Assistant Manager,n/a,Mass Customer,N,Yes,17
77,Shermie,Andrin,Male,79,9/12/1989,Automation Specialist IV,Financial Services,Mass Customer,N,No,7
891,Talbot,Andrioni,Male,21,8/6/1981,Occupational Therapist,Health,High Net Worth,N,Yes,9
1064,Thornie,Andrusov,Male,3,6/13/1977,Librarian,Entertainment,Affluent Customer,N,Yes,8
1436,Tonnie,Andryunin,Male,40,10/29/1999,General Manager,n/a,Affluent Customer,N,No,3
3818,Erny,Andryushin,Male,5,8/8/1964,Sales Representative,Retail,Mass Customer,N,Yes,7
2172,Emmery,Angrock,Male,6,1/5/1979,Information Systems Manager,Health,Affluent Customer,N,Yes,13
2252,Darcey,Annis,U,31,,Teacher,IT,High Net Worth,N,Yes,
2347,L;urette,Annott,Female,79,3/4/1957,Programmer Analyst I,n/a,High Net Worth,N,No,11
426,Emlyn,Anstice,Female,10,6/2/1972,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,No,8
2331,Marybelle,Antal,Female,48,4/11/1963,Database Administrator III,Financial Services,Mass Customer,N,Yes,10
2950,Kristos,Anthony,Male,19,1/11/1955,Software Engineer I,Financial Services,Mass Customer,N,Yes,10
2823,Weidar,Antognazzi,Male,98,4/20/1971,Budget/Accounting Analyst IV,Property,Mass Customer,N,No,7
1830,Nathan,Antognazzi,Male,98,4/30/1985,Software Consultant,Manufacturing,High Net Worth,N,No,12
3176,Rafe,Antoniak,Male,60,12/4/1977,Physical Therapy Assistant,n/a,Affluent Customer,N,No,16
125,Darrelle,Antoniewski,Female,94,3/17/1960,Computer Systems Analyst II,Property,Mass Customer,N,No,16
712,Norine,Antonik,Female,22,5/20/1961,Unspecified,IT,Mass Customer,N,No,14
3313,Kori,Antoshin,Female,10,3/15/1995,Unspecified,Property,High Net Worth,N,Yes,5
220,Jeniffer,Apark,Female,79,5/10/1954,Electrical Engineer,Manufacturing,High Net Worth,N,No,9
2679,Padriac,Apple,Male,5,6/6/1990,Director of Sales,Financial Services,High Net Worth,N,No,10
2581,Gwenette,Appleton,Female,49,6/10/1974,Unspecified,Manufacturing,Affluent Customer,N,Yes,11
1948,Elizabeth,Applewhaite,Female,30,6/8/1964,Unspecified,Entertainment,Mass Customer,N,No,11
1424,Allin,Arbuckel,Male,56,8/3/1974,Occupational Therapist,Health,High Net Worth,N,Yes,14
948,Yardley,Argo,Male,19,8/9/1969,Recruiting Manager,n/a,Affluent Customer,N,No,10
3043,Kelcey,Argontt,Female,21,8/3/1981,Legal Assistant,n/a,Mass Customer,N,Yes,18
2592,Archibaldo,Argrave,Male,84,6/19/1995,Help Desk Operator,Financial Services,Mass Customer,N,Yes,1
3236,Edsel,Arguile,Male,37,4/1/1993,Unspecified,Manufacturing,Mass Customer,N,Yes,5
1251,Codie,Arnecke,Male,63,10/1/1997,Desktop Support Technician,Property,Mass Customer,N,No,2
2942,Garner,Arnolds,Male,10,7/15/1970,Software Engineer III,n/a,High Net Worth,N,No,10
2198,Marijn,Arnoll,Male,1,1/10/1998,Editor,Property,Affluent Customer,N,Yes,1
3875,Berti,Arnould,Male,2,7/27/1985,Electrical Engineer,Manufacturing,Mass Customer,N,Yes,5
1324,Randie,Arnowitz,Female,88,2/22/1978,Web Designer III,Manufacturing,Mass Customer,N,No,11
1284,Alexis,Aronov,Male,30,1/28/1976,Junior Executive,Entertainment,Affluent Customer,N,No,11
821,Gregoor,Aronovitz,Male,41,7/24/1981,Financial Analyst,Financial Services,Mass Customer,N,Yes,7
2904,Freddi,Arrington,Female,26,6/30/1977,Software Test Engineer III,Manufacturing,High Net Worth,N,Yes,11
137,Vaughn,Artin,Male,27,11/21/1987,Office Assistant II,Property,High Net Worth,N,No,10
3132,Nicko,Artois,Male,33,4/15/1975,Sales Representative,Retail,Mass Customer,N,Yes,7
3971,Analise,Asbrey,Female,2,1/14/1979,Desktop Support Technician,Financial Services,High Net Worth,N,No,16
3988,Ammamaria,Ashburne,Female,97,7/14/1994,Automation Specialist IV,Health,Mass Customer,N,Yes,1
2874,Delores,Ashcroft,Female,97,12/28/1977,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,No,18
2539,Tracie,Ashdown,Male,68,4/22/1967,Nuclear Power Engineer,Manufacturing,Affluent Customer,N,Yes,12
3333,Celinda,Asher,Female,30,5/8/1979,Software Test Engineer II,Property,Mass Customer,N,Yes,17
492,Pail,Ashplant,Male,54,4/28/1976,Environmental Tech,Financial Services,Mass Customer,N,No,21
2879,Tatum,Askem,Female,62,4/9/1974,Executive Secretary,Argiculture,Mass Customer,N,Yes,5
1990,Mira,Askham,U,9,,Senior Financial Analyst,Financial Services,High Net Worth,N,No,
25,Geoff,Assaf,Male,72,12/2/1976,Accounting Assistant III,Financial Services,Mass Customer,N,Yes,21
1318,Barbe,Assender,Female,10,8/17/1966,Senior Developer,Financial Services,Mass Customer,N,Yes,4
3682,Dukie,Asson,Male,94,6/15/1978,GIS Technical Architect,Financial Services,Mass Customer,N,Yes,11
2992,Crystal,Assur,Female,26,5/31/1974,Clinical Specialist,Health,Mass Customer,N,Yes,10
1774,Vidovik,Astall,Male,48,11/1/1978,Compensation Analyst,Financial Services,Mass Customer,N,Yes,18
3373,Inna,Atack,Female,19,1/25/1991,Research Associate,Health,Mass Customer,N,No,5
187,Pincas,Ather,Male,97,1/28/1954,Structural Engineer,n/a,Mass Customer,N,No,11
3879,Vin,Attack,Male,74,8/28/1979,Payment Adjustment Coordinator,n/a,High Net Worth,N,No,19
1843,Kennett,Attack,Male,96,9/8/1984,Recruiting Manager,n/a,Mass Customer,N,Yes,4
1616,Shamus,Attenbrough,Male,75,8/16/1955,Media Manager II,Retail,High Net Worth,N,Yes,19
2120,Clare,Attoe,Male,80,1/3/1997,Web Designer III,Manufacturing,Mass Customer,N,No,1
3719,Dorette,Attridge,Female,26,10/19/1956,Sales Representative,Retail,Mass Customer,N,No,6
1992,Shanta,Attrill,Female,28,10/21/1995,Web Developer I,Manufacturing,Mass Customer,N,Yes,3
2169,Jarrad,Atwell,Male,80,2/28/1979,Senior Financial Analyst,Financial Services,Mass Customer,N,No,18
2728,Imojean,Atyeo,Female,55,3/26/1959,Physical Therapy Assistant,IT,High Net Worth,N,No,19
597,Cassandra,Aucoate,Female,6,12/10/1954,Recruiter,Manufacturing,Mass Customer,N,No,6
580,Johnathan,Audiss,Male,83,12/3/1975,Compensation Analyst,Financial Services,Mass Customer,N,Yes,14
3536,Laurence,Aulsford,Male,46,12/24/1967,Professor,Retail,Affluent Customer,N,No,18
2545,Grayce,Aumerle,Female,33,4/11/1978,Tax Accountant,Manufacturing,Mass Customer,N,Yes,16
3955,Dido,Austick,Female,87,8/5/1970,Geologist II,Argiculture,Mass Customer,N,Yes,7
3726,Ange,Austick,Female,36,6/17/1976,GIS Technical Architect,Property,Mass Customer,N,No,19
1680,Loise,Austins,Female,5,7/28/1998,Desktop Support Technician,Property,Mass Customer,N,Yes,4
2014,Sandye,Avraam,Female,49,5/25/1990,Associate Professor,Manufacturing,Mass Customer,N,Yes,8
1135,Mireielle,Avrasin,Female,60,5/3/1980,Software Engineer IV,Financial Services,Mass Customer,N,Yes,11
2736,Max,Awcock,Male,40,1/18/1993,Accounting Assistant IV,n/a,Affluent Customer,N,Yes,9
795,Cassy,Awdry,Female,35,8/20/1973,Environmental Tech,Financial Services,High Net Worth,N,No,18
3800,Morena,Ayer,Female,19,10/28/1980,Environmental Tech,n/a,High Net Worth,N,No,15
692,Goraud,Ayling,Male,42,12/25/1987,Database Administrator IV,Property,Mass Customer,N,No,7
2831,Starlin,Aysh,Female,16,1/22/1968,Programmer Analyst I,Health,Mass Customer,N,Yes,11
98,Allianora,Babalola,Female,19,3/17/1956,Safety Technician IV,Health,Mass Customer,N,No,7
1172,Smith,Babbs,Male,48,4/12/1974,Recruiter,n/a,Mass Customer,N,Yes,17
1828,Leigha,Bacchus,Female,65,12/2/1987,Junior Executive,Manufacturing,Affluent Customer,N,No,14
1292,Alice,Backson,Female,56,6/2/1961,Unspecified,n/a,Affluent Customer,N,No,20
1683,Brenn,Bacon,U,72,,Budget/Accounting Analyst I,IT,Mass Customer,N,Yes,
499,Dalli,Baggally,Male,39,3/15/1961,Budget/Accounting Analyst III,Financial Services,Affluent Customer,N,No,19
3298,Christine,Baignard,U,1,,VP Quality Control,IT,Affluent Customer,N,Yes,
647,Stanislas,Baildon,Male,61,1/23/1957,Assistant Manager,Retail,Mass Customer,N,Yes,10
3559,Farra,Bails,Female,80,2/19/1985,Assistant Media Planner,Entertainment,High Net Worth,N,Yes,17
2785,Gennifer,Baily,Female,9,7/31/1981,Human Resources Manager,Financial Services,Mass Customer,N,No,8
408,Kurtis,Baistow,Male,79,8/31/1991,Senior Financial Analyst,Financial Services,Affluent Customer,N,No,11
2840,Wallie,Baitman,Male,63,9/4/1992,Recruiter,Manufacturing,Mass Customer,N,Yes,9
2055,Harmon,Bakster,Male,46,9/14/1980,Administrative Assistant III,Retail,High Net Worth,N,No,7
3214,Cindelyn,Balas,Female,2,1/21/1993,Software Engineer III,Financial Services,Mass Customer,N,Yes,9
1944,Gregory,Balchin,Male,73,7/30/1980,Programmer III,Argiculture,High Net Worth,N,Yes,8
570,Xever,Baldetti,Male,14,6/24/1978,VP Product Management,Financial Services,Mass Customer,N,Yes,15
2429,Emeline,Baldi,Female,54,11/11/1980,Assistant Professor,Manufacturing,Mass Customer,N,Yes,3
3930,Blancha,Baldi,Female,43,1/6/1988,Unspecified,Financial Services,High Net Worth,N,No,22
1551,Joell,Balfe,Female,37,5/30/1975,Computer Systems Analyst I,Entertainment,Affluent Customer,N,No,17
3826,Marlow,Balffye,Male,33,9/25/1978,Unspecified,Health,Mass Customer,N,No,7
1477,Leo,Balharry,U,42,,Actuary,Financial Services,Mass Customer,N,Yes,
3299,Sybille,Ballsdon,Female,27,4/10/1980,Systems Administrator II,Manufacturing,Affluent Customer,N,Yes,12
2089,Erie,Ballston,Male,93,1/7/1958,Safety Technician I,Financial Services,High Net Worth,N,No,15
541,Annissa,Balmforth,Female,23,1/1/1966,Unspecified,Manufacturing,Affluent Customer,N,Yes,13
452,Natalee,Bamford,Female,22,8/11/1959,Account Coordinator,Property,Mass Customer,N,Yes,5
1999,Raquel,Bamlett,Female,6,8/16/1962,Nuclear Power Engineer,Manufacturing,Mass Customer,N,Yes,7
3716,Kari,Bamlett,Female,81,8/24/1998,Unspecified,Retail,Affluent Customer,N,No,1
3356,Dill,Bampford,Male,47,3/23/1959,Safety Technician II,Financial Services,Mass Customer,N,Yes,6
493,Tommie,Banbridge,Female,83,9/13/1960,Electrical Engineer,Manufacturing,Mass Customer,N,Yes,5
2245,Elsinore,Banbrook,Female,11,4/21/1980,Marketing Manager,Argiculture,Mass Customer,N,No,3
2595,Land,Bangley,Male,56,8/17/1977,Nurse Practicioner,n/a,Affluent Customer,N,Yes,8
2262,Nyssa,Banister,Female,90,4/21/1984,Pharmacist,Health,Mass Customer,N,Yes,2
3283,Rowe,Barbary,Female,46,1/15/1979,Administrative Officer,Property,Mass Customer,N,Yes,6
2468,Parker,Barenskie,Male,51,12/12/1995,Marketing Assistant,Retail,High Net Worth,N,No,1
3011,Robena,Barks,Female,84,5/11/1994,Staff Scientist,Financial Services,High Net Worth,N,No,3
1131,Sigmund,Barkworth,Male,16,8/7/1956,VP Marketing,n/a,Mass Customer,N,No,15
3145,Gar,Barnewille,Male,17,6/17/1978,Paralegal,Financial Services,High Net Worth,N,Yes,7
2658,Inger,Barnham,Female,82,2/11/1964,Unspecified,Manufacturing,Mass Customer,N,Yes,6
416,Dory,Barnsdall,Female,14,6/23/1997,Software Consultant,n/a,Mass Customer,N,Yes,1
144,Jory,Barrabeale,U,71,,Environmental Tech,IT,Mass Customer,N,No,
2961,Merv,Barradell,Male,56,3/22/1975,Assistant Manager,Health,Mass Customer,N,Yes,12
1760,Kelsy,Barrowcliff,Female,68,4/27/1966,Dental Hygienist,Health,High Net Worth,N,No,15
1589,Walker,Bartalot,Male,83,7/8/1989,Human Resources Manager,Health,Mass Customer,N,Yes,4
2124,Damien,Bartczak,Male,17,1/30/1978,Unspecified,Retail,High Net Worth,N,No,18
1248,Genia,Bartel,Female,31,12/18/1963,General Manager,n/a,Affluent Customer,N,Yes,7
2204,Kacie,Barthram,Female,16,9/7/1967,Librarian,Entertainment,High Net Worth,N,No,7
2260,Jarad,Barthropp,Male,38,2/9/1967,Administrative Assistant IV,Argiculture,High Net Worth,N,No,11
3460,Reinhold,Barthrup,Male,22,10/10/1999,Actuary,Financial Services,Mass Customer,N,No,2
388,Carlye,Bartle,Female,53,5/25/1966,Unspecified,Financial Services,Mass Customer,N,Yes,11
2610,Arliene,Bartolijn,Female,41,4/30/1954,Account Coordinator,IT,Mass Customer,N,No,10
3648,Tracie,Bartolomeoni,Female,82,2/21/1954,Paralegal,Financial Services,Mass Customer,N,No,5
1877,Radcliffe,Bartolomeoni,Male,13,9/9/1966,Associate Professor,Financial Services,High Net Worth,N,Yes,16
3212,Corella,Bartomeu,Female,62,1/15/1981,Analog Circuit Design manager,Financial Services,Affluent Customer,N,No,13
2849,Palm,Bartoszek,Male,65,3/27/1994,Unspecified,n/a,High Net Worth,N,Yes,2
810,Fawnia,Bartrum,Female,24,4/4/1998,Software Test Engineer IV,Health,Mass Customer,N,Yes,1
3623,Oren,Barwack,Male,56,11/25/1984,Senior Quality Engineer,Manufacturing,Affluent Customer,N,Yes,15
233,Art,Barwell,Male,34,8/8/1986,Environmental Tech,Property,Mass Customer,N,No,13
3631,Mignonne,Barwood,Female,76,7/1/1962,Project Manager,IT,High Net Worth,N,Yes,16
2201,Trisha,Basset,Female,56,12/12/1998,Design Engineer,Financial Services,Affluent Customer,N,Yes,1
3776,Kennie,Baszniak,Male,46,5/2/1977,Recruiter,Retail,Mass Customer,N,Yes,19
2424,Loren,Batkin,Male,17,1/6/1982,Unspecified,n/a,Affluent Customer,N,Yes,15
3941,Cinnamon,Batram,Female,27,5/3/1978,Technical Writer,Manufacturing,Mass Customer,N,Yes,11
787,Norma,Batrim,Female,29,12/15/1996,Unspecified,Retail,Affluent Customer,N,Yes,2
3759,Sue,Batstone,Female,68,3/4/1995,Programmer IV,Property,Mass Customer,N,Yes,4
3121,Mahmoud,Batterbee,Male,82,5/11/1959,Data Coordiator,Manufacturing,Mass Customer,N,No,19
2127,Wanids,Baudet,Female,66,2/15/1974,Web Designer I,Manufacturing,Mass Customer,N,No,7
3698,Devon,Baudic,Female,49,10/3/1995,Geological Engineer,Manufacturing,Mass Customer,N,No,4
2374,Dolf,Baudichon,Male,6,6/15/1993,Design Engineer,Financial Services,Mass Customer,N,No,9
2901,Banky,Baudichon,Male,77,6/11/1995,Unspecified,Manufacturing,Mass Customer,N,Yes,6
3390,Fayth,Baudins,Female,20,1/27/1969,Unspecified,n/a,High Net Worth,N,No,7
1205,Barton,Baudts,Male,38,6/5/1978,Business Systems Development Analyst,Manufacturing,Affluent Customer,N,No,13
3851,Fowler,Bauduccio,Male,5,11/30/1994,Senior Sales Associate,Manufacturing,High Net Worth,N,No,3
1312,Magda,Baugh,Female,96,7/16/1994,Food Chemist,Health,Affluent Customer,N,No,8
1535,Emanuel,Baukham,Male,80,4/8/1997,Cost Accountant,Financial Services,Affluent Customer,N,Yes,3
586,Jayme,Baunton,Female,63,3/15/1999,Chief Design Engineer,Manufacturing,Mass Customer,N,No,4
466,Jarad,Bauser,Male,84,1/27/1991,Unspecified,Manufacturing,Affluent Customer,N,Yes,2
3901,Evelina,Bavin,Female,98,5/14/1974,Marketing Manager,Argiculture,High Net Worth,N,No,12
2946,Paige,Bax,Male,14,11/21/1990,Unspecified,Property,Mass Customer,N,Yes,7
1821,Fields,Bayne,Male,89,3/9/1972,Web Developer IV,Entertainment,High Net Worth,N,Yes,15
1578,Andreas,Bazely,Male,60,4/14/1978,Unspecified,Health,High Net Worth,N,Yes,11
1189,Mart,Bazoche,Male,22,8/29/1988,Geologist I,Health,High Net Worth,N,Yes,8
1866,Huberto,Bazylets,Male,27,10/7/1992,Marketing Manager,Manufacturing,Mass Customer,N,No,2
1634,Jordana,Beach,Female,20,8/31/1970,Director of Sales,Manufacturing,Affluent Customer,N,No,12
3750,Yanaton,Beacom,Male,78,4/14/1972,Chemical Engineer,Manufacturing,Affluent Customer,N,Yes,6
256,Linell,Beadle,Female,16,5/7/1975,Director of Sales,Health,High Net Worth,N,Yes,21
2509,Danya,Beadles,Male,99,7/7/1971,Help Desk Technician,Financial Services,Mass Customer,N,No,7
3588,Henrie,Beadman,Female,15,6/4/1961,Web Developer III,Health,Affluent Customer,N,Yes,18
3748,Maurise,Beal,Male,82,1/10/1956,Staff Scientist,n/a,Affluent Customer,N,Yes,18
2302,Loraine,Beamish,Female,43,1/9/1999,Mechanical Systems Engineer,Retail,Mass Customer,N,Yes,4
3518,Magdaia,Beardwell,Female,45,6/18/1980,Biostatistician I,IT,Mass Customer,N,Yes,8
2780,Papageno,Beare,Male,77,11/16/1985,Actuary,Financial Services,Affluent Customer,N,Yes,16
2976,Lindsay,Beausang,Male,16,8/7/1964,Tax Accountant,Health,Mass Customer,N,Yes,8
1631,Towny,Beebee,Male,11,9/3/1996,Speech Pathologist,Financial Services,Affluent Customer,N,No,1
3919,Traci,Beeckx,Female,38,7/30/1963,Cost Accountant,Financial Services,High Net Worth,N,No,18
1238,Steward,Beedham,Male,24,6/1/1978,Graphic Designer,n/a,Affluent Customer,N,Yes,6
3204,Ibby,Beedon,Female,51,11/26/1994,Media Manager III,Health,Mass Customer,N,Yes,4
754,Patsy,Beefon,Female,15,7/28/1979,Senior Financial Analyst,Financial Services,Mass Customer,N,No,14
3828,Tessy,Beefon,Female,81,5/12/1992,Dental Hygienist,Health,Mass Customer,N,No,6
2254,Ann,Beek,Female,36,10/21/1955,Programmer Analyst II,Health,Affluent Customer,N,No,18
2082,Sybyl,Beekman,Female,38,12/7/1979,Legal Assistant,Health,Affluent Customer,N,Yes,19
2158,Caesar,Begbie,Male,11,12/18/1960,Physical Therapy Assistant,Entertainment,Mass Customer,N,No,6
1145,Korella,Begin,Female,80,9/26/1965,Unspecified,Property,Mass Customer,N,Yes,14
3340,Torey,Beharrell,Male,61,9/29/1991,Physical Therapy Assistant,n/a,Mass Customer,N,No,2
1458,Ashley,Behneke,Male,40,10/22/1956,Account Representative IV,Telecommunications,Affluent Customer,N,No,11
3948,Roberto,Beinke,Male,44,6/22/1986,Occupational Therapist,Health,Mass Customer,N,No,13
2351,Felicity,Beirne,Female,35,3/15/1992,Assistant Professor,Retail,Affluent Customer,N,Yes,10
1886,Eugenie,Belcham,Female,35,9/22/1978,Nurse,IT,Affluent Customer,N,No,18
896,Idell,Belderson,Female,25,6/10/1978,VP Sales,n/a,Mass Customer,N,No,15
209,Udall,Bellard,Male,9,8/28/1957,Analog Circuit Design manager,n/a,Affluent Customer,N,Yes,6
579,Cathlene,Bellas,Female,89,6/11/1974,Software Engineer II,Health,Mass Customer,N,No,12
